Signal,Maximum Amplitude,Mean,S.D,Energy,Average Power,Label
"0      -0.002
1      -0.002
2      -0.002
3      -0.001
4      -0.001
        ...  
3995    0.000
3996    0.000
3997   -0.001
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.041,-0.00037975,0.0022751558234558903,0.021276999999999997,2.6592925884264463e-06,Movement
"0       0.001
1       0.001
2       0.001
3       0.001
4       0.001
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.022,-0.00036275,0.0014036220916771227,0.008405,1.0504936882889637e-06,Movement
"0       0.000
1       0.000
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.000
3996   -0.001
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.035,-0.000383,0.0021041430213898523,0.018292,2.286214223222097e-06,Movement
"0       0.000
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995    0.000
3996   -0.002
3997   -0.004
3998   -0.004
3999   -0.002
Name: 2, Length: 4000, dtype: float64",0.028,-0.0003665,0.0017323186721834695,0.012538,1.5670541182352206e-06,Movement
"0       0.000
1       0.004
2       0.004
3      -0.001
4      -0.004
        ...  
3995   -0.004
3996   -0.002
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.021,-0.00037675,0.0015934064684013888,0.010721,1.339957505311836e-06,Movement
"0      -0.006
1      -0.004
2       0.002
3       0.004
4       0.000
        ...  
3995    0.000
3996   -0.001
3997   -0.001
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.02,-0.00039375,0.001615042732641172,0.011051,1.3812023497062867e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.001
4       0.000
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.001
Name: 2, Length: 4000, dtype: float64",0.02,-0.00036675,0.0014266230233711719,0.008677,1.0844894388201477e-06,Movement
"0       0.000
1      -0.001
2       0.000
3      -0.001
4       0.000
        ...  
3995   -0.001
3996    0.000
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.024,-0.00037975,0.001563857842112762,0.010357,1.2944631921009874e-06,Movement
"0       0.000
1       0.000
2       0.000
3       0.000
4       0.000
        ...  
3995    0.002
3996    0.001
3997   -0.001
3998   -0.001
3999    0.003
Name: 2, Length: 4000, dtype: float64",0.03,-0.00038425,0.0017449536249678163,0.012767,1.5956755405574303e-06,Movement
"0       0.000
1      -0.001
2       0.000
3       0.000
4       0.000
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.019,-0.00038875,0.0013952096939250766,0.008388999999999999,1.0484939382577176e-06,Movement
"0       0.000
1      -0.001
2      -0.001
3      -0.001
4      -0.001
        ...  
3995   -0.001
3996   -0.002
3997    0.000
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.024,-0.00038,0.0015401925361012711,0.010064,1.2578427696537933e-06,Movement
"0       0.001
1       0.001
2       0.000
3       0.000
4       0.000
        ...  
3995    0.000
3996    0.000
3997    0.000
3998    0.000
3999    0.000
Name: 2, Length: 4000, dtype: float64",0.022,-0.000381,0.0016387526895765567,0.01132,1.4148231471066118e-06,Movement
"0       0.000
1       0.000
2       0.001
3       0.000
4       0.001
        ...  
3995   -0.001
3996   -0.001
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.023,-0.00037325,0.0016799226090785026,0.011843,1.4801899762529684e-06,Movement
"0      -0.001
1      -0.001
2      -0.001
3      -0.002
4      -0.001
        ...  
3995   -0.001
3996    0.000
3997   -0.001
3998   -0.001
3999   -0.001
Name: 2, Length: 4000, dtype: float64",0.023,-0.00037225,0.0016767178603437727,0.011797,1.4744406949131359e-06,Movement
